X1,X11,M1,M2,M3,M4,M5,X2,X3,X4,X5,X6,y,y1,N1,N2,N3,N4,N5
108.5872912,24.73488638,111,-81,264,98,123,3,AGUIX,aorta,26599,3.22,1.010635995,0.22432458,1.06,0,1.6,0.88,1.16
90.05126105,21.08003775,92,-92,281,81,102,4,AGUIX,aorta,26599,3.22,0.58962562,0.158424513,0.6,0,1.08,0.52,0.7
77.27071733,19.81957391,78,-75,333,68,89,5,AGUIX,aorta,26599,3.22,0.376405052,0.143770271,0.36,0,0.8,0.26,0.48
457.2298227,292.2133931,564,-39,869,103,742,1,AGUIX,aorta,26285,2.7,11.43277884,1.551848507,11.72,0.74,13.6,10.8,12.6
127.6855057,21.21028211,128,17,192,115,142,2,AGUIX,aorta,26285,2.7,1.093965174,0.289584535,1.1,0,1.82,0.86,1.3
114.7904067,18.04058892,116,-2,169,104,127,3,AGUIX,aorta,26285,2.7,0.827925373,0.193245582,0.82,0.24,1.3,0.7,0.94
95.7806048,16.28180658,97,30,143,85,107,4,AGUIX,aorta,26285,2.7,0.478353234,0.163180987,0.48,0.02,0.9,0.38,0.58
79.56600626,15.07150741,81,26,125,69,90,5,AGUIX,aorta,26285,2.7,0.28158209,0.105645067,0.28,0,0.6,0.22,0.34
NA,NA,NA,NA,NA,NA,NA,1,AGUIX,aorta,26684,3.52,NA,NA,NA,NA,NA,NA,NA
117.16475,18.59552654,117,19,192,107,128,2,AGUIX,aorta,26684,3.52,0.80560585,0.262308523,0.84,0,1.38,0.66,1
99.79075,15.79550456,99,9,175,90,108,3,AGUIX,aorta,26684,3.52,0.493802228,0.167452733,0.5,0,0.9,0.4,0.62
83.59525,12.05947459,84,28,155,76,91,4,AGUIX,aorta,26684,3.52,0.234247911,0.137459256,0.24,0,0.62,0.12,0.32
73.204,12.4092862,73,15,141,65,81,5,AGUIX,aorta,26684,3.52,0.091727019,0.079237826,0.08,0,0.38,0.02,0.14
291.4115881,183.9611826,362.5,-149,557,87.25,433,1,AGUIX,aorta,26375,3.23,5.602716981,0.766607707,5.46,0.32,7.48,5.12,5.92
108.1486521,13.71192205,108,28,160,99,117,2,AGUIX,aorta,26375,3.23,0.694415533,0.130493332,0.7,0,1.22,0.62,0.78
108.3354414,14.03978176,108,37,168,99,117.75,3,AGUIX,aorta,26375,3.23,0.67463993,0.172921329,0.66,0,1.22,0.54,0.78
91.29666539,12.13203596,91,7,138,83,99,4,AGUIX,aorta,26375,3.23,0.420132092,0.112551583,0.42,0,0.78,0.36,0.48
73.16877475,12.28181524,73,-22,122,65,81,5,AGUIX,aorta,26375,3.23,0.136777274,0.084510527,0.14,0,0.42,0.08,0.2
58.81225033,24.54206225,58,-34,174,46,70,1,AGUIX,vena cava,26201,3.1,0.131754993,0.305468985,0.08,0,2.44,0,0.14
93.45081656,13.45208374,94,22,141,85,103,2,AGUIX,vena cava,26201,3.1,0.551077352,0.153077528,0.58,0,0.9,0.44,0.66
86.03329535,11.84633992,86,28,144,78,94,3,AGUIX,vena cava,26201,3.1,0.450950753,0.140375295,0.48,0,0.76,0.36,0.56
78.06962907,12.91140409,78,18,127,70,87,4,AGUIX,vena cava,26201,3.1,0.331439423,0.099417683,0.34,0,0.58,0.28,0.4
61.67464236,13.28883811,62,-22,102,53.5,71,5,AGUIX,vena cava,26201,3.1,0.105772883,0.080642405,0.1,0,0.42,0.02,0.16
56.32107292,17.91634366,57,-80,222,46,67,1,AGUIX,vena cava,26608,2.9,0.136402184,0.144427383,0.1,0,2.4,0.02,0.235
105.5200863,16.38242672,106,-13,157,95,117,2,AGUIX,vena cava,26608,2.9,0.792684974,0.210445363,0.82,0,1.32,0.66,0.94
101.177959,16.17894414,102,-17,148,91,112,3,AGUIX,vena cava,26608,2.9,0.718975896,0.185776408,0.76,0,1.28,0.62,0.86
88.15649358,14.53425632,89,-16,141,79,98,4,AGUIX,vena cava,26608,2.9,0.569953232,0.193061649,0.56,0,1.04,0.42,0.7
69.63772635,17.25370798,71,-20,130,61,81,5,AGUIX,vena cava,26608,2.9,0.305288404,0.117695006,0.3,0,0.62,0.22,0.4
53.845604,15.66529494,54,-3,127,44,64,1,AGUIX,vena cava,26599,3.22,0.143527426,0.110559968,0.12,0,0.68,0.06,0.22
112.0582778,19.29830996,113,-29,168,100,126,2,AGUIX,vena cava,26599,3.22,0.817704385,0.18668568,0.82,0,1.38,0.72,0.92
107.038059,16.22623352,108,-28,156,97,118,3,AGUIX,vena cava,26599,3.22,0.854044396,0.219968114,0.86,0,1.36,0.68,1.04
94.36310657,15.54031785,95,-19,145,85,105,4,AGUIX,vena cava,26599,3.22,0.544775311,0.123458878,0.56,0,0.88,0.48,0.62
77.52794957,16.56791027,79,-10,125,68,89,5,AGUIX,vena cava,26599,3.22,0.372199964,0.128629219,0.38,0,0.76,0.3,0.46
103.3553483,127.4669812,67,-32,799,49,91,1,AGUIX,vena cava,26285,2.7,0.907875559,1.980408006,0.24,0,12.12,0.04,0.48
